"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CL05B104KQ5NNNC","Samsung Electro-Mechanics","1276-1511-1-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","725105","28 Weeks","CAP CER 0.1UF 6.3V X7R 0402","ROHS3 Compliant","Lead free","REACH Unaffected"
"ICM-20948","TDK InvenSense","1428-1123-1-ND","","","Cut Tape (CT)","Active","1","10.47000","$10.47","16549","26 Weeks","IMU ACCEL/GYRO/COMPI2C/SPI 24QFN","ROHS3 Compliant","Lead free","Not Available"
