Comment,Designator,Footprint,LCSC
10,R1,R_0603_1608Metric,C103222
Conn_01x03,J6,PinSocket_1x03_P2.54mm_Vertical,C22373889
Conn_01x20,"J2,J3",PinSocket_1x20_P2.54mm_Vertical,C2905423
Conn_01x03,J5,PinHeader_1x03_P2.54mm_Vertical,C2932698
Conn_01x20,"J1,J4",PinHeader_1x20_P2.54mm_Vertical,C50981
